"bbl","address","zipcode","unitsres","numfloors","latitude","longitude"
"4038240066","78-35 74 STREET","11385",2,2,40.7034605,-73.8745791
"4038240067","78-33 74 STREET","11385",1,2,40.7035127,-73.8746006
"4038240074","78-21 74 STREET","11385",2,2,40.7038257,-73.8747299
"4038240077","78-15 74 STREET","11385",2,2,40.7039822,-73.8747945
"4038240079","78-13 74 STREET","11385",1,2,40.7040344,-73.874816
"4038240080","78-11 74 STREET","11385",2,2,40.7040866,-73.8748376
"4038240082","78-09 74 STREET","11385",2,2,40.7041388,-73.8748591
"4038240170","78-27 74 STREET","11385",1,2,40.7036665,-73.8746653
"4038240175","78-17 74 STREET","11385",1,2,40.7039273,-73.874773
"4038240182","78-07 74 STREET","11385",2,2,40.7041937,-73.8748807
"4038250008","78-06 76 STREET","11385",1,2,40.7042773,-73.8735496
"4038250009","78-08 76 STREET","11385",1,2,40.7042114,-73.8735209
"4038250011","78-12 76 STREET","11385",2,2,40.7041483,-73.8734958
"4038250012","78-14 76 STREET","11385",1,2,40.7040851,-73.8734707
"4038250013","78-16 76 STREET","11385",2,2,40.7040247,-73.8734455
"4038250015","78-20 76 STREET","11385",2,2,40.7038984,-73.8733953
"4038250017","78-22 76 STREET","11385",1,2,40.7038352,-73.8733665
